sequence,meridian,range,township,sheet,status,rows,index_files,index_multi_name_pct,even_quarters_with_file_pct,pages,settlement_era_proxy,rail_arrival,cpr_belt,near_reserve,band,infill_zone,lon,lat,note
87,W2,19,1,R19,names-only,144,87,57.0,61.0,12,1911+,1930.0,no CPR land,False,T1-12 (south),F,-104.477,49.0432,
88,W2,19,4,R19,names-only,144,93,46.0,64.0,12,1906-10,1930.0,no CPR land,False,T1-12 (south),F,-104.4949,49.3045,
89,W2,19,7,R19,names-only,144,126,30.0,88.0,12,1906-10,1910.0,no CPR land,False,T1-12 (south),F,-104.5131,49.5664,
90,W2,19,10,R19,names-only,144,62,31.0,86.0,12,1890s,1893.0,some CPR,False,T1-12 (south),F,-104.5131,49.8284,
91,W2,19,13,R19,names-only,144,49,51.0,68.0,12,1890s,1893.0,CPR belt,False,T13-24,,-104.5317,50.0908,
92,W2,19,16,R19,names-only,144,61,57.0,85.0,12,pre-1890,1882.0,CPR belt,False,T13-24,,-104.5492,50.3532,
93,W2,19,19,R19,names-only,144,59,37.0,82.0,12,pre-1890,1887.0,some CPR,True,T13-24,,-104.5702,50.6154,
94,W2,19,22,R19,names-only,144,81,23.0,90.0,12,pre-1890,1905.0,no CPR land,True,T13-24,,-104.5701,50.8775,
95,W2,19,25,R19,names-only,144,64,44.0,89.0,13,1901-05,,no CPR land,False,T25-36,,-104.5891,51.1394,
96,W2,19,28,R19,names-only,144,65,25.0,90.0,12,1901-05,1908.0,no CPR land,True,T25-36,,-104.6083,51.4016,
97,W2,19,31,R19,names-only,144,61,41.0,54.0,12,1906-10,1909.0,no CPR land,False,T25-36,,-104.6279,51.6633,
98,W2,19,34,R19,names-only,144,70,20.0,88.0,12,1890s,1921.0,no CPR land,False,T25-36,,-104.6274,51.9253,
99,W2,19,37,R19,names-only,144,63,29.0,88.0,12,1890s,1905.0,no CPR land,False,T37-48 (parkland),,-104.6494,52.1877,
100,W2,19,40,R19,names-only,144,118,57.0,81.0,12,1890s,1921.0,no CPR land,False,T37-48 (parkland),,-104.6689,52.4491,
101,W2,19,52,R19,empty,144,11,9.0,4.0,12,1911+,1932.0,no CPR land,False,T49+ (forest fringe),C,-104.7326,53.4963,few homestead files — quick township
102,W2,19,55,R19,empty,144,0,,0.0,12,no proxy,,no CPR land,False,T49+ (forest fringe),C,-104.758,53.7581,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
103,W2,22,1,R22,names-only,144,56,43.0,29.0,10,no proxy,,no CPR land,False,T1-12 (south),F,-104.8776,49.0429,
104,W2,22,4,R22,names-only,144,98,43.0,75.0,12,1890s,1911.0,no CPR land,False,T1-12 (south),F,-104.8981,49.3044,
105,W2,22,7,R22,names-only,144,122,43.0,89.0,12,1890s,1911.0,no CPR land,False,T1-12 (south),F,-104.9197,49.5664,
106,W2,22,10,R22,names-only,144,87,36.0,88.0,12,1901-05,1911.0,some CPR,False,T1-12 (south),F,-104.9194,49.8285,
107,W2,22,13,R22,names-only,144,65,38.0,90.0,12,1890s,1893.0,CPR belt,False,T13-24,,-104.9412,50.0907,
108,W2,22,16,R22,names-only,144,53,57.0,74.0,12,pre-1890,1882.0,CPR belt,False,T13-24,,-104.9617,50.3532,
109,W2,22,19,R22,names-only,144,61,30.0,83.0,12,pre-1890,1887.0,CPR belt,False,T13-24,,-104.9858,50.6154,
