Arborg,MANITOBA,50.90722,-97.21694,,,,,,,,50000,50000,6000,6000,40000,0,40000,40000,40000,40000,0,40000,28000,58000,58000,58000
Arbuthnot,SASKATCHEWAN,49.8167,-106.90063,,,,,,,,,,,,,,,,,,,,70000,70000,140000,70000
Archerwell,SASKATCHEWAN,52.43899,-103.86101,,,,,,,,,,,,,60000,,,,,,,,,,
Archerwill,SASKATCHEWAN,52.43899,-103.86101,,,,,,,,,,,,,,60000,60000,60000,60000,60000,60000,105000,100000,220000,110000
Archive,SASKATCHEWAN,50.28336,-105.61724,,30000,30000,30000,30000,30000,30000,,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,60000,30000
Archydal,SASKATCHEWAN,50.48336,-105.75058,,,,,30000,30000,30000,30000,,,,,,30000,30000,30000,65000,65000,60000,60000,60000,120000,60000
Archydale,SASKATCHEWAN,50.48336,-105.75058,,,60000,30000,,,,,30000,30000,30000,30000,30000,,,,,,,,,,
Arclee,SASKATCHEWAN,52.25923,-107.50326,,,,,,,,,,,,,,,,,,137000,,,,,
Arcola,SASKATCHEWAN,49.63545,-102.49192,172000,142000,140000,0,135000,138000,154000,,170000,136000,116000,117000,117000,117000,111000,88000,110000,115000,110000,104000,99000,198000,99000
Ardath,SASKATCHEWAN,51.61671,-107.23398,25000,80000,85000,85000,90000,90000,,128000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,124000,86000,90000,180000,90000
Ardell,SASKATCHEWAN,49.92685,-109.3222,,,,,,,55000,,,,,,,,,,,,,,,,
Arden,MANITOBA,50.27722,-99.26972,65000,65000,65000,65000,65000,70000,70000,70000,70000,70000,70000,70000,0,70000,120000,120000,120000,0,120000,115300,115000,115000,115000
Ardenode,ALBERTA,51.14444,-113.42361,,,,,,10000,,10000,10000,10000,10000,10000,10000,10000,30000,30000,30000,30000,30000,28000,26000,52000,26000
Ardill,SASKATCHEWAN,49.93923,-105.84199,,,,,25000,55000,,58000,58000,88000,88000,118000,88000,88000,88000,90000,90000,83000,78000,72000,72000,158000,79000
Ardley,ALBERTA,52.26139,-113.2275,,,,,,,,,,20000,20000,20000,20000,15000,15000,15000,32000,32000,32000,30000,30000,60000,30000
Ardmore,ALBERTA,54.33194,-110.48278,,,,,,,,,,,,,,,,,,,,30000,30000,56000,
Ardmore..... (Formerly Coste),ALBERTA,54.33194,-110.48278,,,,,,,,,,,,,,,,,,,,,,,28000
Ardrossan,ALBERTA,53.55222,-113.14389,,,,,,,,,,30000,30000,30000,30000,30000,30000,30000,65000,65000,60000,59000,89000,114000,57000
Arelee,SASKATCHEWAN,52.25923,-107.50326,,,,,,,,,,,,,,,,,132000,,137000,165000,165000,330000,165000
Argo,SASKATCHEWAN,52.01672,-108.10068,,,,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,120000,56000
Argue,MANITOBA,49.4475,-100.44556,53000,53000,50000,47500,48000,0,50000,50000,50000,35000,35000,35000,35000,35000,35000,,35000,35000,35000,30000,30000,60000,30000
Argyle,MANITOBA,50.18111,-97.45444,,,20000,20000,20000,15000,15000,15000,15000,10000,10000,15000,15000,15000,15000,,15000,15000,15000,10000,10000,60000,30000
Arlet,SASKATCHEWAN,,,,,,,,,50000,,,,,,,,,,,,,,,,
Arma,SASKATCHEWAN,52.58338,-106.36725,,,,,,,,,,,,,,,30000,30000,65000,67000,60000,61000,61000,122000,61000
Arma Siding,SASKATCHEWAN,52.58338,-106.36725,,,,,,,30000,30000,30000,30000,30000,30000,30000,30000,,,,,,,,,
Armada,ALBERTA,50.41389,-112.75361,,,,,,,,,,,,,,32000,32000,32000,,97000,97000,93000,93000,186000,93000
