station,province,lat,lon,elevator_rows,n_owners,n_years,first_year,last_year,top_owner,top_rail,max_capacity_bushels,coord_source
Horsham,SASKATCHEWAN,50.42379,-109.8842,18,2,9,1926,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,30000,cgn_direct
Arma,SASKATCHEWAN,52.58338,-106.36725,18,3,9,1926,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,35000,cgn_direct
Hartwell,SASKATCHEWAN,53.44385,-108.8984,18,3,9,1926,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,33000,cgn_direct
Acadia Valley,ALBERTA,51.15694,-110.20972,18,3,9,1926,1943,Pioneer Grain Co Ltd,Canadian National Rys,105000,cgn_direct
Sedalia,ALBERTA,51.675,-110.66472,18,5,9,1926,1943,United Grain Growers Ltd,Canadian National Rys,41000,cgn_direct
MacGregor,MANITOBA,49.96611,-98.77861,18,3,8,1927,1943,Lake Of The Woods Milling Co Ltd,Canadian Pacific,30000,cgn_direct
Connemara,ALBERTA,50.39472,-113.82333,18,3,8,1927,1943,United Grain Growers Ltd,Canadian Pacific,73000,cgn_direct
Durward,ALBERTA,50.29556,-113.71306,18,3,8,1927,1943,United Grain Growers Ltd,Canadian Pacific,73000,cgn_direct
Wessex,ALBERTA,51.50611,-114.04028,18,4,8,1927,1943,Gillespie Grain Co Ltd,Canadian Pacific,40000,cgn_direct
Nampa,ALBERTA,56.03722,-117.13306,18,3,8,1927,1943,United Grain Growers Ltd,Canadian Northern Alberta Ry Co,35000,cgn_direct
Mayfair,SASKATCHEWAN,52.98216,-107.59874,18,5,7,1928,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,35000,cgn_direct
Meskanaw,SASKATCHEWAN,52.78188,-105.07884,18,5,6,1929,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,65000,cgn_direct
Port Colborne,ONTARIO,42.91556,-79.19306,18,6,8,1917,1943,Maple Leaf Milling Co Ltd,"Chicago, Detroit & Canada Grand Trunk Jct RR Co",3000000,cgn_direct
Pilger,SASKATCHEWAN,52.4206,-105.26788,18,4,5,1930,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,45000,cgn_direct
Struan,SASKATCHEWAN,52.31841,-107.59836,18,3,5,1930,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,32000,cgn_direct
Paradise Hill,SASKATCHEWAN,53.53918,-109.45766,18,4,5,1930,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,35000,cgn_direct
Thorsby,ALBERTA,53.22694,-114.04806,18,3,5,1930,1943,Alberta Wheat Pool,Canadian Pacific,73000,cgn_direct
Chillon Siding,MANITOBA,50.57639,-101.22083,17,6,14,1911,1925,United Grain Growers Ltd,Canadian Pacific,30000,agent_high
Melbourne,MANITOBA,49.87333,-99.18917,17,4,17,1911,1930,Ogilvie Flour Mills Co Ltd,Canadian Pacific,25000,cgn_direct
Riverdale,MANITOBA,50.18778,-99.97417,17,5,17,1911,1930,Blackburn Mills & Graham Ltd,Canadian Pacific,35000,cgn_direct
St. Anne,MANITOBA,49.66972,-96.64944,17,4,15,1911,1943,Mccabe Bros Grain Co Ltd,Canadian National Rys,35000,agent_high
Lloydminster,ALBERTA,53.27778,-110.03083,17,8,9,1911,1930,British America Elevator Co Ltd,Canadian Northern Ry Co,35000,cgn_direct
Glencross,MANITOBA,49.11722,-98.01444,17,3,17,1911,1930,Mccabe Elevator Co Ltd,Great Northern Ry Co,30000,cgn_direct
Hayfield,MANITOBA,49.67833,-100.05917,17,3,17,1911,1930,Mccabe Elevator Co Ltd,Great Northern Ry Co,30000,cgn_direct
Heaslip,MANITOBA,49.47417,-100.01417,17,3,17,1911,1930,Mccabe Elevator Co Ltd,Great Northern Ry Co,35000,cgn_direct
McKelvie,MANITOBA,49.73819,-100.06736,17,3,17,1911,1930,Mccabe Elevator Co Ltd,Great Northern Ry Co,30000,lynch_map_interp
Roseland,MANITOBA,49.79806,-100.07556,17,3,17,1911,1930,Mccabe Elevator Co Ltd,Great Northern Ry Co,30000,cgn_direct
Peoples,SASKATCHEWAN,51.09855,-102.58169,17,8,13,1911,1924,N Bawlf Grain Co Ltd,Grand Trunk Pacific Ry Co,30000,lynch_map_interp
Burnside,MANITOBA,49.96694,-98.46194,17,8,16,1912,1928,C H Nelson,Canadian Pacific,30000,cgn_direct
Horndean,MANITOBA,49.1925,-97.65556,17,3,16,1916,1943,Maple Leaf Milling Co Ltd,Canadian Pacific,30000,cgn_direct
Dacotah,MANITOBA,49.87528,-97.63861,17,2,16,1917,1943,N M Paterson & Co Ltd,Canadian National Rys,35000,cgn_direct
Norgate,MANITOBA,50.68306,-99.46944,17,2,16,1918,1943,Union Grain Co Ltd,Canadian National Rys,30000,cgn_direct
Pine River,MANITOBA,51.78417,-100.53056,17,2,15,1919,1943,Northern Elevator Co Ltd,Canadian National Rys,30000,cgn_direct
Tenby,MANITOBA,50.49972,-99.1275,17,1,16,1918,1943,United Grain Growers Ltd,Canadian National Rys,30000,cgn_direct
Deborah,SASKATCHEWAN,49.25319,-102.51047,17,5,17,1913,1930,Security Elevator Co Ltd,Grand Trunk Pacific Ry Co,30000,cgn_direct
Red Deer Hill,SASKATCHEWAN,53.0222,-105.7993,17,3,16,1918,1943,Security Elevator Co Ltd,Canadian National Rys,30000,cgn_direct
Metiscow,ALBERTA,52.40861,-110.63333,17,3,9,1915,1924,Home Grain Co Ltd,Canadian Pacific,30000,agent_high
Nevis,ALBERTA,52.33028,-113.03139,17,11,11,1921,1943,Searle Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Toronto,ONTARIO,43.7417,-79.3733,17,5,15,1918,1943,Toronto Elevators Ltd,Canadian Pacific,4000000,cgn_direct
McMorran,SASKATCHEWAN,51.31475,-108.74629,17,4,11,1924,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,30000,cgn_direct
Totnes,SASKATCHEWAN,51.32913,-108.51709,17,5,11,1924,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,35000,cgn_direct
Helston,MANITOBA,50.13028,-99.10889,17,3,10,1925,1943,Western Canada Flour Mills Co Ltd,Canadian National Rys,25000,cgn_direct
Armada,ALBERTA,50.41389,-112.75361,17,3,9,1925,1943,United Grain Growers Ltd,Canadian Pacific,57000,cgn_direct
Pemukan,ALBERTA,51.97194,-110.44417,17,5,10,1925,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Jays,SASKATCHEWAN,51.44563,-106.66517,17,4,9,1926,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,35000,cgn_direct
Dixon,SASKATCHEWAN,52.20003,-105.21722,17,4,9,1926,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,35000,cgn_direct
Lamerton,ALBERTA,52.49306,-113.09639,17,5,9,1926,1943,Gillespie Grain Co Ltd,Canadian National Rys,40000,cgn_direct
Linacre,SASKATCHEWAN,50.48339,-109.6341,17,2,8,1927,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,30000,cgn_direct
Stonehenge,SASKATCHEWAN,49.5198,-106.12625,17,2,8,1927,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,35000,cgn_direct
Fulda,SASKATCHEWAN,52.35003,-105.21721,17,3,6,1929,1943,Searle Grain Co Ltd,Canadian Pacific,70000,cgn_direct
Willowbunch,SASKATCHEWAN,49.39101,-105.63305,17,5,4,1939,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,55000,cgn_direct
Varcoe,MANITOBA,50.057,-99.672,16,6,16,1911,1930,K Campbell,Canadian Pacific,12000,lynch_map_interp
Yeomans,SASKATCHEWAN,49.6439,-104.11831,16,7,9,1911,1929,International Elevator Co,Canadian Pacific,28000,agent_high
Warman,SASKATCHEWAN,52.32207,-106.58418,16,4,15,1911,1943,Saskatchewan Pool Elevators Ltd,Canadian Northern Ry Co,35000,cgn_direct
Marquette,MANITOBA,50.06444,-97.73278,16,3,12,1920,1943,N M Paterson & Co Ltd,Canadian Pacific,40000,cgn_direct
Otterburne,MANITOBA,49.49722,-97.05167,16,3,15,1915,1943,United Grain Growers Ltd,Canadian Pacific,30000,cgn_direct
Petersfield,MANITOBA,50.30444,-96.96861,16,1,15,1917,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,30000,cgn_direct
Fisher Branch,MANITOBA,51.08306,-97.62,16,2,15,1918,1943,Ruthenian Farmers Elevator Co Ltd,Canadian National Rys,30000,cgn_direct
Meharry,MANITOBA,51.21944,-100.8525,16,3,15,1919,1943,Manitoba Pool Elevators Ltd,Canadian National Rys,30000,cgn_direct
Moosehorn,MANITOBA,51.29139,-98.42278,16,1,15,1919,1943,Parrish & Heimbecker Ltd,Canadian National Rys,30000,cgn_direct
Sevick,MANITOBA,52.09597,-101.15292,16,5,14,1920,1943,Federal Grain Ltd,Canadian National Rys,35000,lynch_map_interp
Glen Ewan,SASKATCHEWAN,49.20993,-102.01776,16,4,4,1920,1924,International Elevator Co Ltd,Canadian Pacific,45000,agent_high
Inverlake,ALBERTA,51.04917,-113.64472,16,2,15,1919,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Earl Gray,SASKATCHEWAN,50.93552,-104.71121,16,5,4,1923,1926,State Elevator Co Ltd,Canadian Pacific,40000,agent_high
Donavon (Birdview),SASKATCHEWAN,51.79435,-107.12685,16,7,4,1923,1930,Quaker Oats Co,Canadian National Rys,48000,cgn_direct
Freemont,SASKATCHEWAN,52.83631,-109.48764,16,4,10,1924,1941,Saskatchewan Pool Elevators Ltd,Canadian Pacific,36000,cgn_direct
Nora,SASKATCHEWAN,52.37474,-103.83642,16,4,11,1924,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,40000,cgn_direct
Fairholm,SASKATCHEWAN,53.42664,-108.53975,16,3,10,1925,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,33000,agent_high
Paddockwood,SASKATCHEWAN,53.50713,-105.56183,16,3,10,1925,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,71000,cgn_direct
Calahoo,ALBERTA,53.71111,-113.95417,16,4,10,1925,1943,Gillespie Grain Co Ltd,Canadian National Rys,41000,cgn_direct
Rochfort Bridge,ALBERTA,53.91361,-115.03639,16,4,8,1926,1943,Gillespie Grain Co Ltd,Canadian National Rys,73000,cgn_direct
Bolney,SASKATCHEWAN,53.53342,-109.30074,16,3,7,1928,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,59000,cgn_direct
Grassdale,SASKATCHEWAN,49.58131,-103.99867,16,3,7,1928,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,35000,cgn_direct
Dunphy,ALBERTA,51.48028,-112.85944,16,3,7,1928,1943,Parrish & Heimbecker Ltd,Canadian Pacific,66000,cgn_direct
Morecambe,ALBERTA,53.66444,-111.47,16,3,7,1928,1943,Parrish & Heimbecker Ltd,Canadian Pacific,35000,cgn_direct
Tempest,ALBERTA,49.74667,-112.52389,16,4,7,1928,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,113000,cgn_direct
Buford,ALBERTA,53.2475,-113.93111,16,3,5,1930,1943,United Grain Growers Ltd,Canadian Pacific,40000,cgn_direct
Moore Park,MANITOBA,50.06639,-99.77944,15,3,9,1911,1943,Lake Of The Woods Milling Co,Canadian Pacific,30000,cgn_direct
Roche Percee,SASKATCHEWAN,49.06564,-102.80149,15,6,14,1911,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,35000,cgn_direct
Rivers,MANITOBA,50.03083,-100.23944,15,6,15,1911,1926,Western Canada Flour Mills Co Ltd,Grand Trunk Pacific Ry Co,30000,cgn_direct
"Selkirk, East",MANITOBA,50.14361,-96.88389,15,5,10,1912,1941,Lake Of The Woods Milling Co Ltd,Canadian Pacific,40000,cgn_direct
Roundhill,ALBERTA,53.16528,-112.63083,15,10,11,1912,1943,Alberta Pacific Grain Co Ltd,Canadian Northern Ry Co,41000,cgn_direct
Port McNicoll,ONTARIO,44.74933,-79.81068,15,3,14,1912,1943,Canadian Pacific Railway Co,Canadian Pacific,6500000,cgn_direct
Gunton,MANITOBA,50.31806,-97.26611,15,1,14,1920,1943,United Grain Growers Ltd,Canadian Pacific,32000,cgn_direct
Haywood,MANITOBA,49.66667,-98.19639,15,2,14,1919,1943,N M Paterson & Co Ltd,Canadian Pacific,30000,cgn_direct
Osborne,MANITOBA,49.54194,-97.36889,15,2,14,1920,1943,Western Canada Flour Mills Co Ltd,Canadian Pacific,30000,cgn_direct
Rossenfeld,MANITOBA,49.19917,-97.54889,15,4,4,1920,1924,Ogilvie Flour Mills Co Ltd,Canadian Pacific,30000,agent_high
Sewell,MANITOBA,49.27361,-97.47194,15,2,14,1920,1943,Maple Leaf Milling Co Ltd,Canadian Pacific,30000,cgn_direct
Tyndall,MANITOBA,50.08278,-96.65833,15,1,14,1920,1943,Lake Of The Woods Milling Co Ltd,Canadian Pacific,25000,cgn_direct
Windygates,MANITOBA,49.00056,-98.36472,15,3,14,1917,1943,Wiley Low & Co Ltd,Canadian Pacific,40000,cgn_direct
Bield,MANITOBA,51.22111,-101.15389,15,2,14,1919,1943,Manitoba Pool Elevators Ltd,Canadian National Rys,30000,cgn_direct
Roseisle,MANITOBA,49.5,-98.34417,15,1,13,1921,1943,N M Paterson & Co Ltd,Canadian National Rys,30000,cgn_direct
Diana Siding,SASKATCHEWAN,50.13392,-104.79919,15,4,10,1915,1925,Malden Elevator Co Ltd,Canadian Pacific,30000,agent_high
Holder,SASKATCHEWAN,51.43497,-106.20505,15,2,8,1916,1924,British America Elevator Co Ltd,Canadian Northern Ry Co,30000,lynch_map_interp
Cavendish,ALBERTA,50.81556,-110.45528,15,4,13,1917,1930,Victoria Elevator Co Ltd,Canadian Pacific,35000,cgn_direct
Lundbreck,ALBERTA,49.58556,-114.16194,15,6,15,1915,1930,Christian Community Of Universal Brotherhood Ltd,Canadian Pacific,60000,cgn_direct
Spring Coulée,ALBERTA,49.33444,-113.05167,15,4,5,1921,1928,Ogilvie Flour Mills Co Ltd,Canadian Pacific,45000,cgn_direct
Edwand,ALBERTA,54.1425,-112.27611,15,3,14,1919,1943,Home Grain Co Ltd,Canadian National Rys,30000,cgn_direct
Red Willows,ALBERTA,52.45028,-112.57222,15,3,8,1918,1926,National Elevator Co Ltd,Canadian National Rys,50000,agent_high
Ardley,ALBERTA,52.26139,-113.2275,15,6,14,1920,1943,United Grain Growers Ltd,Canadian National Rys,32000,cgn_direct
Peace River,ALBERTA,56.23583,-117.29861,15,4,12,1917,1943,Midland & Pacific Grain Corp Ltd,Canada Central Ry Co,46000,cgn_direct
Carolside,ALBERTA,51.22028,-111.62917,15,4,12,1923,1943,Saskatchewan Elevator Co Ltd,Canadian National Rys,75000,cgn_direct
McKague,SASKATCHEWAN,52.60952,-103.92924,15,4,11,1924,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,30000,cgn_direct
Galilee,SASKATCHEWAN,49.93731,-105.53702,15,4,14,1916,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,30000,cgn_direct
Oungre,SASKATCHEWAN,49.14536,-103.79849,15,5,8,1927,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,35000,cgn_direct
Edmore,SASKATCHEWAN,51.57265,-103.59022,15,3,7,1928,1943,Searle Grain Co Ltd,Canadian Pacific,39000,cgn_direct
Dudley,SASKATCHEWAN,50.93398,-107.19326,15,4,7,1928,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,35000,cgn_direct
Dorothy,ALBERTA,51.27917,-112.325,15,4,7,1928,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,41000,cgn_direct
Elk Island,ALBERTA,53.78139,-112.97833,15,2,7,1928,1943,Pioneer Grain Co Ltd,Canadian Pacific,40000,cgn_direct
St. Benedict,SASKATCHEWAN,52.56813,-105.38973,15,4,5,1930,1943,United Grain Growers Ltd,Canadian Pacific,35000,cgn_direct
Choiceland,SASKATCHEWAN,53.49204,-104.48693,15,3,4,1939,1943,W J Anderson Elevator Co Ltd,Canadian Pacific,40000,cgn_direct
Meath Park,SASKATCHEWAN,53.44171,-105.36673,15,3,4,1939,1943,Reliance Grain Co Ltd,Canadian Pacific,60000,cgn_direct
Cactus Lake,SASKATCHEWAN,52.11423,-109.8163,15,3,4,1939,1943,Western Grain Co Ltd,Canadian National Rys,35000,cgn_direct
Whiskey Gap,ALBERTA,49.0325,-113.03139,15,4,4,1939,1943,United Grain Growers Ltd,Canadian Pacific,55000,cgn_direct
Chater,MANITOBA,49.86722,-99.83139,14,3,11,1911,1921,Western Canada Flour Mills Co Ltd,Canadian Pacific,35000,cgn_direct
Aiktow,SASKATCHEWAN,51.03011,-106.50887,14,3,14,1911,1925,Central Grain Co Ltd,Canadian Pacific,28000,lynch_map_interp
Dufresne,MANITOBA,49.72694,-96.72333,14,5,14,1911,1925,United Grain Growers Ltd,Canadian Northern Ry Co,45000,cgn_direct
Katrim,MANITOBA,50.08167,-98.78944,14,2,14,1911,1926,Western Canada Flour Mills Co Ltd,Canadian Northern Ry Co,25000,agent_high
Newton Siding,MANITOBA,49.9275,-98.07806,14,5,14,1911,1943,Mcmillan Grain Co Ltd,Canadian Northern Ry Co,35000,agent_high
Bradburn,MANITOBA,49.50097,-98.12542,14,2,14,1911,1926,Mccabe Elevator Co Ltd,Great Northern Ry Co,30000,lynch_map_interp
Bowell,ALBERTA,50.14889,-110.94583,14,6,14,1912,1930,Ogilvie Flour Mills Co Ltd,Canadian Pacific,40000,cgn_direct
Jameson,SASKATCHEWAN,50.40557,-104.28894,14,5,13,1912,1939,British America Elevator Co Ltd,Canadian National Rys,35000,cgn_direct
St. Boswells,SASKATCHEWAN,50.04457,-106.83969,14,5,4,1920,1924,Saskatchewan Co-operative Elevator Co Ltd,Canadian National Rys,35000,cgn_direct
Cairns,ALBERTA,52.34333,-110.54417,14,3,14,1916,1930,Home Grain Co Ltd,Canadian Pacific,30000,cgn_direct
Gartley,ALBERTA,51.55972,-112.58361,14,2,13,1915,1928,Home Grain Co Ltd,Canadian Northern Ry Co,50000,agent_high
Bardo,ALBERTA,53.29861,-112.6875,14,3,13,1921,1943,Pioneer Grain Co Ltd,Canadian National Rys,74000,cgn_direct
Twinning,ALBERTA,51.63278,-113.2975,14,4,6,1920,1940,Independent Grain Co Ltd,Canadian National Rys,40000,agent_high
Bickleigh,SASKATCHEWAN,51.29272,-108.40789,14,4,11,1924,1943,United Grain Growers Ltd,Canadian Pacific,35000,cgn_direct
Carbondale,ALBERTA,53.74639,-113.52694,14,6,11,1924,1943,Midland & Pacific Grain Corp Ltd,Canadian Northern Alberta Ry Co,35000,cgn_direct
Willow Bunch,SASKATCHEWAN,49.39101,-105.63305,14,6,5,1926,1930,Saskatchewan Pool Elevators Ltd,Canadian National Rys,57000,cgn_direct
Resource,SASKATCHEWAN,52.73334,-104.53383,14,3,8,1927,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,35000,cgn_direct
Southminster,SASKATCHEWAN,53.21995,-109.96676,14,3,8,1927,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,35000,cgn_direct
Scandia,ALBERTA,50.27806,-112.04667,14,4,8,1927,1943,Alberta Wheat Pool,Canadian Pacific,66000,cgn_direct
Mossbank..... (also C.N.R.),SASKATCHEWAN,49.93963,-105.96317,14,8,3,1928,1930,Federal Grain Ltd,Canadian Pacific,45000,cgn_direct
Beaverdale,SASKATCHEWAN,51.25,-102.90049,14,4,7,1928,1943,United Grain Growers Ltd,Canadian National Rys,35000,cgn_direct
Musidora,ALBERTA,53.68972,-111.58417,14,3,7,1928,1943,Pioneer Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Heinsburg,ALBERTA,53.7675,-110.52167,14,3,7,1928,1943,United Grain Growers Ltd,Canadian National Rys,33000,cgn_direct
Bapaume,SASKATCHEWAN,53.3834,-107.66729,14,2,6,1929,1943,Searle Grain Co Ltd,Canadian National Rys,35000,cgn_direct
New Osgoode,SASKATCHEWAN,52.98719,-103.81788,14,2,6,1929,1943,United Grain Growers Ltd,Canadian National Rys,35000,cgn_direct
Reynaud,SASKATCHEWAN,52.6277,-105.43481,14,2,6,1929,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,45000,cgn_direct
Skiff,ALBERTA,49.5025,-111.79111,14,3,6,1929,1943,Ellison Milling & Elevator Co Ltd,Canadian Pacific,73000,cgn_direct
Gartly,ALBERTA,51.55972,-112.58361,14,3,6,1929,1943,Searle Grain Co Ltd,Canadian National Rys,73000,cgn_direct
Griesbach,ALBERTA,53.65361,-113.18222,14,5,5,1930,1943,United Grain Growers Ltd,Canadian Pacific,32000,cgn_direct
Vancouver..... (See pages 182 and 184),BRITISH COLUMBIA,49.26111,-123.11389,14,7,1,1941,1941,Pacific Elevators Ltd,Canadian Northern Alberta Ry Co,7111500,cgn_direct
Rufford Siding,MANITOBA,50.145,-99.89361,13,4,13,1911,1925,United Grain Growers Ltd,Canadian Northern Ry Co,30000,agent_high
St. Agathe,MANITOBA,49.56611,-97.18333,13,7,13,1911,1930,Canadian Elevator Co,Canadian Northern Ry Co,17000,agent_high
Amaranth,MANITOBA,50.59556,-98.73833,13,2,12,1917,1930,Lake Of The Woods Milling Co Ltd,Canadian National Rys,20000,cgn_direct
Inwood,MANITOBA,50.50639,-97.49556,13,4,12,1918,1943,N M Paterson & Co Ltd,Canadian National Rys,30000,cgn_direct
Mulvihill,MANITOBA,50.96667,-98.17972,13,5,13,1917,1930,W H Robinson,Canadian National Rys,6000,cgn_direct
Ibson,SASKATCHEWAN,49.85245,-104.24444,13,4,6,1918,1924,Ogilvie Flour Mills Co Ltd,Canadian Pacific,35000,agent_medium
Sharrow,ALBERTA,50.91222,-110.17667,13,3,13,1917,1930,Lake Of The Woods Milling Co Ltd,Canadian Pacific,35000,cgn_direct
Rackham,MANITOBA,50.53722,-100.06806,13,3,11,1923,1943,Canadian Consol Grain Co Ltd,Canadian National Rys,35000,cgn_direct
Bear Creek,SASKATCHEWAN,56.29882,-108.94082,13,2,12,1923,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,35000,cgn_direct
Grand Coulée,SASKATCHEWAN,50.43225,-104.8176,13,7,3,1923,1929,John Nicks,Canadian Pacific,37000,cgn_direct
Winro,SASKATCHEWAN,50.54701,-103.75226,13,2,12,1923,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,35000,cgn_direct
Barbour,SASKATCHEWAN,51.21349,-102.13211,13,4,12,1923,1943,N Bawlf Grain Co Ltd,Canadian National Rys,30000,lynch_map_interp
Chambers,SASKATCHEWAN,51.86442,-107.12632,13,3,12,1923,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,40000,cgn_direct
Eldred,SASKATCHEWAN,53.58854,-106.96758,13,1,12,1923,1943,Searle Grain Co Ltd,Canadian National Rys,30000,cgn_direct
Kilwinning,SASKATCHEWAN,53.09861,-106.66217,13,2,12,1923,1943,National Elevator Co Ltd,Canadian National Rys,32000,cgn_direct
Poyser,SASKATCHEWAN,52.46336,-109.21747,13,2,12,1923,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,30000,cgn_direct
Neely,SASKATCHEWAN,51.9328,-105.75885,13,2,12,1923,1943,Northern Elevator Co Ltd,Canadian National Rys,35000,cgn_direct
Palo,SASKATCHEWAN,52.16777,-108.31213,13,2,12,1923,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,32000,cgn_direct
Xena,SASKATCHEWAN,51.71216,-105.60356,13,2,12,1923,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,35000,cgn_direct
Ashmont,ALBERTA,54.12917,-111.56806,13,2,12,1923,1943,Federal Grain Ltd,Canadian National Rys,33000,cgn_direct
Donalda,ALBERTA,52.58361,-112.57417,13,5,5,1917,1927,United Grain Growers Ltd,Canadian National Rys,105000,cgn_direct
Greencourt,ALBERTA,54.00778,-115.23861,13,3,12,1923,1943,Searle Grain Co Ltd,Canadian National Rys,31200,cgn_direct
Venice,ALBERTA,54.69778,-112.14806,13,3,12,1923,1943,Fraser Grain Co Ltd,Canadian Northern Alberta Ry Co,30000,cgn_direct
Forslund,SASKATCHEWAN,51.9167,-105.85059,13,2,11,1924,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,30000,cgn_direct
Duffield,ALBERTA,53.52806,-114.34417,13,3,11,1924,1943,Searle Grain Co Ltd,Canadian National Rys,30000,cgn_direct
Bluffton,ALBERTA,52.74944,-114.29167,13,3,11,1924,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,30000,cgn_direct
Buoyant,ALBERTA,51.51694,-113.41444,13,4,10,1925,1943,Alberta Wheat Pool,Canadian Pacific,35000,cgn_direct
Leo,ALBERTA,52.05472,-112.35861,13,3,9,1926,1943,Alberta Wheat Pool,Canadian National Rys,40000,cgn_direct
Naco,ALBERTA,51.7,-110.80778,13,3,9,1926,1943,Alberta Wheat Pool,Canadian National Rys,40000,cgn_direct
Girouville,ALBERTA,55.75361,-117.33889,13,4,7,1927,1941,Alberta Pacific Grain Co Ltd,Canadian Northern Alberta Ry Co,52000,agent_high
Alticane,SASKATCHEWAN,52.90006,-107.48395,13,3,7,1928,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,35000,cgn_direct
Coalhurst,ALBERTA,49.74861,-112.92944,13,4,7,1928,1943,Ellison Milling & Elevator Co Ltd,Canadian Pacific,40000,cgn_direct
Slawa,ALBERTA,53.68583,-111.12417,13,3,7,1928,1943,Reliance Grain Co Ltd,Canadian Pacific,32000,cgn_direct
Environ,SASKATCHEWAN,52.22902,-107.32954,13,2,6,1929,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,30000,cgn_direct
Gladmar,SASKATCHEWAN,49.1633,-104.45488,13,2,6,1929,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,45000,cgn_direct
Greenstreet,SASKATCHEWAN,53.46036,-109.81838,13,2,6,1929,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,40000,cgn_direct
Hillmond,SASKATCHEWAN,53.42854,-109.70219,13,2,6,1929,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,35000,cgn_direct
Shell Lake,SASKATCHEWAN,53.30552,-107.06449,13,4,6,1929,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,35000,cgn_direct
Rivercourse,ALBERTA,53.015,-110.05861,13,4,6,1929,1943,Alberta Wheat Pool,Canadian Pacific,73000,cgn_direct
Therien,ALBERTA,54.23944,-111.25667,13,3,5,1929,1943,Searle Grain Co Ltd,Canadian National Rys,34000,cgn_direct
Huallen,ALBERTA,55.16444,-119.28639,13,4,6,1929,1943,United Grain Growers Ltd,Canadian Northern Alberta Ry Co,32000,cgn_direct
Morrinville,ALBERTA,53.80278,-113.64389,13,5,5,1916,1920,Gillespie Elevator Co Ltd,Canadian Northern Ry Co,110000,agent_high
Scentgrass,SASKATCHEWAN,52.95007,-108.25067,13,5,5,1930,1943,Searle Grain Co Ltd,Canadian National Rys,40000,cgn_direct
Smeaton,SASKATCHEWAN,53.49143,-104.81091,13,4,4,1939,1943,Saskatchewan Pool Elevators Ltd,Canadian Pacific,65000,cgn_direct
Whitkow,SASKATCHEWAN,52.94018,-107.86651,13,4,4,1939,1943,Searle Grain Co Ltd,Canadian Pacific,40000,cgn_direct
Carrot River,SASKATCHEWAN,53.2817,-103.58564,13,4,4,1939,1943,Western Grain Co Ltd,Canadian National Rys,39000,cgn_direct
Keatley,SASKATCHEWAN,52.80006,-107.46729,13,5,4,1939,1943,Saskatchewan Pool Elevators Ltd,Canadian National Rys,58000,cgn_direct
