station,province,lat,lon,elevator_rows,n_owners,n_years,first_year,last_year,top_owner,top_rail,max_capacity_bushels,coord_source
Dollard,SASKATCHEWAN,49.61546,-108.58366,101,15,20,1914,1943,Pioneer Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Lancer,SASKATCHEWAN,50.80146,-108.87881,101,19,21,1913,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,35000,cgn_direct
Carnduff,MANITOBA,49.17493,-101.79733,100,21,23,1911,1943,James Partridge,Canadian Pacific,50000,cgn_direct
Pense,SASKATCHEWAN,50.41524,-104.9847,100,19,21,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,50000,cgn_direct
Bow Island,ALBERTA,49.86722,-111.37889,100,26,23,1911,1943,United Grain Growers Ltd,Canadian Pacific,80000,cgn_direct
Cudworth,SASKATCHEWAN,52.49019,-105.73913,100,21,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,30000,cgn_direct
Veregin,SASKATCHEWAN,51.58174,-102.07674,100,22,13,1915,1929,Christian Community Of Universal Brotherhood Ltd,Canadian National Rys,80000,cgn_direct
Lajord,SASKATCHEWAN,50.24023,-104.15372,99,18,23,1911,1943,Pioneer Grain Co Ltd,Canadian Pacific,60000,cgn_direct
Milden,SASKATCHEWAN,51.48649,-107.52124,99,20,23,1911,1943,Pioneer Grain Co Ltd,Canadian Pacific,45000,cgn_direct
Tyvan,SASKATCHEWAN,50.03255,-103.73125,99,15,23,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,40000,cgn_direct
Cluny,ALBERTA,50.84111,-112.86944,99,21,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,95000,cgn_direct
Bladworth,SASKATCHEWAN,51.36742,-106.13917,99,14,22,1911,1943,British America Elevator Co Ltd,Canadian National Rys,50000,cgn_direct
Hague,SASKATCHEWAN,52.51071,-106.41735,99,19,23,1911,1943,North Star Grain Co Ltd,Canadian National Rys,45000,cgn_direct
Chinook,ALBERTA,51.44944,-110.92528,99,25,21,1912,1943,Pioneer Grain Co Ltd,Canadian National Rys,105000,cgn_direct
Hanna,ALBERTA,51.64583,-111.92528,99,20,21,1913,1943,National Elevator Co Ltd,Canadian National Rys,84000,cgn_direct
Moosomin,MANITOBA,50.14476,-101.671,98,22,23,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,50000,cgn_direct
Sedley,SASKATCHEWAN,50.1709,-104.01408,98,17,23,1911,1943,Lake Of The Woods Milling Co Ltd,Canadian Pacific,40000,cgn_direct
Tuxford,SASKATCHEWAN,50.57534,-105.58054,98,23,23,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,60000,cgn_direct
Lashburn,SASKATCHEWAN,53.12515,-109.61328,98,20,23,1911,1943,British America Elevator Co Ltd,Canadian National Rys,70000,cgn_direct
Quill Lake,SASKATCHEWAN,52.07112,-104.25641,98,20,23,1911,1943,British America Elevator Co Ltd,Canadian National Rys,55000,cgn_direct
Viking,ALBERTA,53.09472,-111.77556,98,19,22,1911,1943,United Grain Growers Ltd,Canadian National Rys,75000,cgn_direct
Eyebrow,SASKATCHEWAN,50.8022,-106.14925,98,21,21,1912,1943,State Elevator Co Ltd,Canadian Pacific,40000,cgn_direct
Craigmyle,ALBERTA,51.66972,-112.24306,98,19,21,1913,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,95000,cgn_direct
Francis,SASKATCHEWAN,50.1017,-103.86626,97,27,23,1911,1943,International Elevator Co Ltd,Canadian Pacific,35000,cgn_direct
Lipton,SASKATCHEWAN,50.90276,-103.84849,97,14,23,1911,1943,Pioneer Grain Co Ltd,Canadian Pacific,45000,cgn_direct
Qu'Appelle,SASKATCHEWAN,50.54251,-103.87351,97,18,23,1911,1943,Lake Of The Woods Milling Co Ltd,Canadian Pacific,35000,cgn_direct
Castor,ALBERTA,52.21917,-111.90361,97,22,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,45000,cgn_direct
Semans,SASKATCHEWAN,51.40616,-104.73135,97,26,20,1911,1943,Lake Of The Woods Milling Co Ltd,Canadian National Rys,40000,cgn_direct
Shackleton,SASKATCHEWAN,50.68501,-108.60754,97,16,20,1913,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,70000,cgn_direct
Palmer,SASKATCHEWAN,49.85896,-106.3596,97,21,21,1913,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,60000,cgn_direct
Carseland,ALBERTA,50.85139,-113.46778,97,14,20,1914,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,73000,cgn_direct
Scotsguard,SASKATCHEWAN,49.72346,-108.14665,97,19,19,1914,1943,Pioneer Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Marquis,SASKATCHEWAN,50.61898,-105.71924,96,24,23,1911,1943,North Star Grain Co Ltd,Canadian Pacific,30000,cgn_direct
Osage,SASKATCHEWAN,49.95621,-103.58174,96,20,23,1911,1943,International Elevator Co Ltd,Canadian Pacific,35000,cgn_direct
Rocanville,MANITOBA,50.38184,-101.70062,96,23,23,1911,1943,North Star Grain Co Ltd,Canadian Pacific,58000,cgn_direct
Salvador,SASKATCHEWAN,52.16673,-109.50075,96,18,23,1911,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,35000,cgn_direct
Marcelin,SASKATCHEWAN,52.92601,-106.79067,96,16,22,1911,1943,British America Elevator Co Ltd,Canadian National Rys,70000,cgn_direct
Togo,MANITOBA,51.4026,-101.58237,96,18,23,1911,1943,N Bawlf Grain Co Ltd,Canadian National Rys,60000,cgn_direct
Success,SASKATCHEWAN,50.46037,-108.07983,96,23,22,1912,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,40000,cgn_direct
Carmichael,SASKATCHEWAN,50.04789,-108.64408,96,19,21,1913,1943,Central Grain Co Ltd,Canadian Pacific,30000,cgn_direct
Youngstown,ALBERTA,51.52889,-111.21028,96,20,21,1913,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,95000,cgn_direct
Keeler,SASKATCHEWAN,50.67907,-105.8808,95,18,23,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,45000,cgn_direct
Parkland,ALBERTA,50.25611,-113.65861,95,25,23,1911,1943,United Grain Growers Ltd,Canadian Pacific,73000,cgn_direct
Mikado,SASKATCHEWAN,51.60872,-102.2706,95,22,22,1911,1943,N Bawlf Grain Co Ltd,Canadian National Rys,70000,cgn_direct
Pennant,SASKATCHEWAN,50.53173,-108.23128,95,20,22,1912,1943,Pioneer Grain Co Ltd,Canadian Pacific,55000,cgn_direct
Wakaw,SASKATCHEWAN,52.6479,-105.74144,95,21,20,1912,1943,Alberta Pacific Grain Co Ltd,Canadian National Rys,50000,cgn_direct
Leader,SASKATCHEWAN,50.88757,-109.54661,95,18,17,1917,1943,Alberta Pacific Grain Co Ltd,Canadian Pacific,60000,cgn_direct
Standard,ALBERTA,51.10972,-112.98361,95,18,21,1913,1943,United Grain Growers Ltd,Canadian Pacific,73000,cgn_direct
Chipman,ALBERTA,53.69833,-112.63778,94,19,23,1911,1943,United Grain Growers Ltd,Canadian National Rys,73000,cgn_direct
Melaval,SASKATCHEWAN,49.69243,-106.44907,94,12,21,1913,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,35000,cgn_direct
Deloraine,MANITOBA,49.19083,-100.49389,93,20,22,1911,1943,Ogilvie Flour Mills Co Ltd,Canadian Pacific,35000,cgn_direct
Killarney,MANITOBA,49.18333,-99.66278,93,13,23,1911,1943,Lake Of The Woods Milling Co Ltd,Canadian Pacific,50000,cgn_direct
