station,province,lat,lon,coord_source,1911_n,1911_cap,1912_n,1912_cap,1913_n,1913_cap,1914_n,1914_cap,1915_n,1915_cap,1916_n,1916_cap,1917_n,1917_cap,1918_n,1918_cap,1919_n,1919_cap,1920_n,1920_cap,1921_n,1921_cap,1923_n,1923_cap,1924_n,1924_cap,1925_n,1925_cap,1926_n,1926_cap,1927_n,1927_cap,1928_n,1928_cap,1929_n,1929_cap,1930_n,1930_cap,1939_n,1939_cap,1940_n,1940_cap,1941_n,1941_cap,1943_n,1943_cap
McMahon,SASKATCHEWAN,50.07381,-107.55598,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,2,60000,3,90000,1,,3,95000,3,63500,3,95000,3,95000,3,90000,3,81000,3,91000,6,172000,3,86000
McMorran,SASKATCHEWAN,51.31475,-108.74629,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,,1,30000,1,30000,1,30000,1,30000,1,30000,2,58000,2,56000,4,112000,2,56000
McNab,ALBERTA,49.34944,-112.29028,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,1,35000,2,75000,2,75000,,,,,,,2,76000
McNabb,ALBERTA,49.34944,-112.29028,agent_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,76000,2,109000,4,152000,,
McNutt,MANITOBA,51.08426,-101.60359,agent_high,3,85000,3,85000,3,85000,3,85000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McPhail,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,92000,,,,,,,,,,,,
McRorie,SASKATCHEWAN,51.32538,-107.08758,agent_high,,,3,88000,3,88000,3,88000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McTaggart,SASKATCHEWAN,49.7309,-104.01183,cgn_direct,3,90000,3,90000,3,90000,3,90000,3,90000,3,85000,,,3,85000,3,85000,3,85000,3,85000,3,85000,3,85000,1,,3,90000,4,120000,4,120000,4,119000,4,119000,4,117000,4,117000,8,234000,4,117000
McTavish,MANITOBA,49.45889,-97.36889,cgn_direct,1,25000,1,25000,1,25000,1,25000,1,25000,1,25000,1,25000,,,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,,,1,25000,1,25000,1,25000,1,25000,2,63000,2,63000,4,126000,2,63000
Mchan,SASKATCHEWAN,51.29854,-102.44288,agent_medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60000,,,,,,,,,,
