station,province,lat,lon,coord_source,1911_n,1911_cap,1912_n,1912_cap,1913_n,1913_cap,1914_n,1914_cap,1915_n,1915_cap,1916_n,1916_cap,1917_n,1917_cap,1918_n,1918_cap,1919_n,1919_cap,1920_n,1920_cap,1921_n,1921_cap,1923_n,1923_cap,1924_n,1924_cap,1925_n,1925_cap,1926_n,1926_cap,1927_n,1927_cap,1928_n,1928_cap,1929_n,1929_cap,1930_n,1930_cap,1939_n,1939_cap,1940_n,1940_cap,1941_n,1941_cap,1943_n,1943_cap
Marengo,SASKATCHEWAN,51.47966,-109.7836,cgn_direct,,,3,90000,3,90000,2,60000,3,90000,3,115000,,,3,100000,4,130000,4,130000,4,130000,3,90000,3,90000,3,90000,3,90000,3,82000,3,85000,1,28000,3,80000,3,81000,3,81000,6,162000,3,81000
Margaret,MANITOBA,49.40556,-99.85583,cgn_direct,3,74400,3,80000,3,80000,3,80000,3,85000,3,80000,2,57000,2,57000,2,57000,2,57000,2,57000,2,57000,2,57000,2,57000,2,66000,2,66000,2,72000,1,,2,72000,2,70000,2,70000,4,140000,2,70000
Margo,SASKATCHEWAN,51.82547,-103.3361,cgn_direct,1,5000,2,30000,2,30000,2,30000,1,25000,1,30000,,,1,30000,1,30000,1,30000,1,30000,2,60000,2,60000,2,60000,2,60000,2,65000,3,100000,3,93000,3,96000,3,99000,3,99000,6,198000,3,99000
Mariapolis,MANITOBA,49.3625,-98.98889,cgn_direct,,,,,,,,,2,51000,1,,2,55000,2,55000,2,55000,2,55000,2,47500,1,22500,1,22500,1,22500,2,54500,2,54500,2,54500,1,,2,54500,1,30000,1,30000,2,60000,1,30000
Marieapolis,MANITOBA,49.3625,-98.98889,agent_high,2,49500,2,51000,2,51000,2,51000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markinch,SASKATCHEWAN,50.93918,-104.36235,cgn_direct,3,95000,5,160000,6,145000,6,165000,5,135000,5,140000,5,170000,5,163000,5,163000,5,170000,4,140000,4,125000,4,140000,4,140000,4,140000,4,140000,4,140000,4,135000,4,140000,4,136000,4,126000,8,258000,4,129000
Marquette,MANITOBA,50.06444,-97.73278,cgn_direct,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,30000,,,,,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,4,140000,2,70000
Marquis,SASKATCHEWAN,50.61898,-105.71924,cgn_direct,4,108000,4,108000,4,108000,4,108000,4,108000,4,108000,2,53000,2,50000,4,108000,4,108000,4,108000,4,111000,5,138000,5,138000,5,135000,5,140000,4,110000,4,110000,4,105000,4,100000,4,95000,8,196000,4,98000
Marriott,SASKATCHEWAN,51.7942,-108.01214,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,97000,4,132000,4,132000,4,130000,4,150000,8,300000,4,150000
Marsden,SASKATCHEWAN,52.84149,-109.82384,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,4,120000,4,120000,4,125000,4,125000,4,125000,4,125000,4,125000,5,159000,5,162000,10,334000,5,162000
Marshall,SASKATCHEWAN,53.19281,-109.77825,cgn_direct,2,55000,3,85000,3,85000,3,85000,3,80000,3,80000,,,3,115000,3,115000,3,115000,3,115000,4,145000,4,145000,4,145000,4,145000,4,145000,4,145000,4,148500,4,148500,4,136000,4,163000,8,322000,4,161000
Martin's Spur,MANITOBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,,,,,,
Marwayne,ALBERTA,53.5175,-110.33,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100000,4,135000,5,170000,6,205000,6,205100,6,191000,6,186000,12,376000,6,188000
Maryfield,MANITOBA,49.83498,-101.52585,cgn_direct,2,60000,2,60000,2,60000,2,60000,2,55000,2,55000,1,30000,2,55000,2,55000,2,55000,2,55000,2,55000,2,55000,2,55000,2,55000,3,95000,3,65000,3,100000,,,2,32000,1,32000,2,64000,,
Maryfield. .... (See page 64),MANITOBA,49.83498,-101.52585,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32000
Maryfield..... (See page 102),MANITOBA,49.83498,-101.52585,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,62000,,,,,,
Maryfield..... (See page 103),MANITOBA,49.83498,-101.52585,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,62000
Maryfield..... (See page 106),MANITOBA,49.83498,-101.52585,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,62000,4,124000,,
Maryfield..... (also C.N.R.),MANITOBA,49.83498,-101.52585,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,87000,,,,,,,,
Maryfield..... (also C.P.R.),MANITOBA,49.83498,-101.52585,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31000,,,,,,,,
Masefield,SASKATCHEWAN,49.15263,-107.80471,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,2,65000,2,65000,3,110000,3,113000,3,108000,3,103000,6,206000,3,103000
Matador,SASKATCHEWAN,50.79667,-107.94494,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,2,65000,2,65000,2,65000,2,65000,2,65000,2,67000,2,65000,2,63000,4,126000,2,63000
Mather,MANITOBA,49.09889,-99.19111,cgn_direct,3,77300,2,49000,3,88000,3,85000,3,85000,3,85000,3,85000,3,85000,2,60000,2,60000,,,2,60000,2,60000,,,,,3,100000,3,100000,3,100000,3,110000,3,108000,3,108000,6,216000,3,108000
Mathér,MANITOBA,49.09889,-99.19111,cgn_direct,,,,,,,,,,,,,,,,,,,,,2,60000,,,,,,,,,,,,,,,,,,,,,,,,
Mattes,SASKATCHEWAN,53.47753,-106.81677,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40000,1,40000,2,80000,1,40000
Mausur,SASKATCHEWAN,49.72497,-103.7708,agent_medium,,,,,,,,,,,,,1,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mawer,SASKATCHEWAN,50.74864,-106.39073,cgn_direct,,,,,3,90000,1,,4,120000,1,,,,4,120000,4,120000,1,,1,,1,,1,,4,120000,4,120000,4,111000,4,115000,4,110000,4,105000,2,50000,2,50000,4,100000,2,50000
Mawon,SASKATCHEWAN,,,,,,,,,,,,,,,,4,122000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxim,SASKATCHEWAN,49.31435,-103.97497,cgn_direct,,,,,1,28000,2,58000,2,53000,2,53000,2,53000,2,53000,2,53000,2,53000,2,53000,2,55000,2,53000,2,53000,2,53000,2,53000,2,50000,2,55000,2,55000,2,53000,2,51000,4,102000,2,51000
Maxstone,SASKATCHEWAN,49.4922,-106.02777,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,2,60000,2,60000,2,62000,2,62000,2,60000,2,58000,4,116000,2,58000
Mayerthorpe,ALBERTA,53.95472,-115.13806,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100000,3,100000,3,97000,3,129000,6,194000,3,97000
Mayfair,SASKATCHEWAN,52.98216,-107.59874,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,65000,3,95000,3,94000,2,66500,2,67000,4,134000,2,67000
Mayfeld,MANITOBA,50.11833,-98.99944,cgn_direct,,,,,,,,,,,1,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayfield,MANITOBA,50.11833,-98.99944,agent_high,1,6000,1,6000,1,6000,1,6000,1,6000,,,1,6000,1,6000,1,6000,1,6000,1,6000,1,6000,1,6000,,,,,,,,,,,,,,,,,,,,
Maymont,SASKATCHEWAN,52.56278,-107.70735,cgn_direct,2,55000,2,55000,2,55000,2,55000,2,55000,2,50000,,,4,122000,4,122000,4,122000,4,122000,4,122000,4,162000,4,162000,4,92000,4,142000,4,142000,4,147000,4,142000,3,115000,3,115000,6,230000,3,115000
Mayronne,SASKATCHEWAN,49.66902,-106.83958,agent_high,,,,,,,,,,,,,5,135000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazenod,SASKATCHEWAN,49.85983,-106.21303,cgn_direct,,,,,3,90000,3,90000,4,148000,4,118000,,,5,189000,5,209000,5,179000,5,179000,5,129000,5,129000,5,189000,5,185000,5,185000,6,230000,6,231000,6,210400,6,221000,6,205000,12,410000,6,205000
Mazeppa,ALBERTA,50.63917,-113.73694,cgn_direct,,,,,1,30000,1,,2,60000,2,60000,2,60000,,,2,60000,2,60000,2,60000,2,60000,2,90000,2,90000,2,90000,,,3,130000,3,145000,3,157300,3,156000,,,6,312000,3,156000
Mazeppa..... (A),ALBERTA,50.63917,-113.73694,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,156000,,,,
Mazetta,ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,90000,,,,,,,,,,,,,,
McAuley,MANITOBA,50.26222,-101.38861,cgn_direct,2,40600,2,47000,2,50000,2,50000,2,50000,2,60000,2,44000,,,2,44000,2,44000,2,44000,2,44000,2,44000,,,,,2,57000,3,87000,3,87000,3,87000,2,60000,2,60000,4,120000,2,60000
McConnell,MANITOBA,50.26833,-100.52861,cgn_direct,1,30000,2,55000,2,60000,2,60000,2,60000,1,,2,60000,2,60000,1,,1,,2,60000,2,60000,2,60000,2,60000,2,60000,2,60000,2,60000,1,,2,60000,2,60000,2,60000,4,120000,2,60000
McCord,SASKATCHEWAN,49.42835,-106.83065,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50000,5,162000,5,162000,4,121000,4,146000,8,278000,4,139000
McCrcary,MANITOBA,50.77306,-99.49222,agent_high,,,,,,,,,,,,,3,68000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McCreary,MANITOBA,50.77306,-99.49222,cgn_direct,1,4000,1,4000,1,4000,1,4000,1,4000,1,4000,,,2,60000,1,,1,,2,60000,2,60000,2,60000,2,60000,2,60000,2,60000,2,60000,1,,2,60000,2,54000,2,54000,4,110000,2,55000
McDonald,MANITOBA,50.08083,-96.96944,cgn_direct,,,,,,,,,,,,,1,32000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McFaggart,SASKATCHEWAN,49.7309,-104.01183,agent_high,,,,,,,,,,,,,3,85000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McGee,SASKATCHEWAN,51.50146,-108.24848,cgn_direct,,,1,30000,1,30000,2,55000,2,55000,1,,2,80000,2,80000,2,80000,1,,2,60000,2,60000,2,60000,1,,2,60000,2,60000,2,60000,2,63000,2,63000,2,58000,2,58000,4,116000,2,58000
McGregor,MANITOBA,,,,3,75500,3,74000,3,80000,3,75000,3,75000,3,80000,3,80000,,,3,80000,3,80000,3,80000,3,80000,3,80000,,,,,,,,,,,,,,,,,,,,
McKague,SASKATCHEWAN,52.60952,-103.92924,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,2,60000,1,,2,60000,2,60000,1,30000,1,30000,1,30000,1,30000,1,30000,2,60000,1,30000
McKelvie,MANITOBA,49.73819,-100.06736,lynch_map_interp,1,30000,1,30000,,,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,,,1,30000,1,30000,1,26000,,,,,,,,
McKim,SASKATCHEWAN,51.04811,-102.64511,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60000,2,60000,2,60000,3,95000,3,95000,3,95000,3,65000,3,65000,6,130000,3,65000
McLaughlin,ALBERTA,52.98972,-110.165,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,177000,5,171000,5,165000,4,169000,8,286000,4,143000
McLean,MANITOBA,,,,,,,,1,30000,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
McLean,SASKATCHEWAN,50.51723,-104.068,cgn_direct,2,63000,2,63000,1,23000,1,23000,1,23000,1,23000,1,22000,1,22000,2,49000,2,49000,1,22000,1,22000,1,22000,1,,1,22000,1,22000,1,25000,1,25000,1,25000,1,25000,1,35000,2,70000,1,35000
McLean (Deepdale),MANITOBA,,,,,,,,,,,,,,,,,,,,,,,,,,2,82000,,,,,,,,,,,,,,,,,,,,,,
McLean Siding,MANITOBA,,,,1,27000,1,26000,,,2,60000,2,60000,1,,2,57000,2,87000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
